dataset,n,prob_min,prob_max,prob_mean,prob_std,alerts
abduction,100,1.0,1.0,1.0,0.0,Rango de probabilidad casi nulo (P90-P10 < 1e-3). | Desviacion estandar de probabilidad casi nula (< 1e-3). | Muy pocos valores unicos de probabilidad (<= 3). | No hay separacion de medias entre clases (gap < 1e-3).
rotation,100,1.0,1.0,1.0,0.0,Rango de probabilidad casi nulo (P90-P10 < 1e-3). | Desviacion estandar de probabilidad casi nula (< 1e-3). | Muy pocos valores unicos de probabilidad (<= 3). | No hay separacion de medias entre clases (gap < 1e-3).
