Mode,Threshold,Recall,Precision,F1,Specificity,Balanced_Accuracy,PASS,ROC_AUC,PR_AUC,Selection_Reason
TCN_only,0.05,1.0,0.5,0.6666666666666666,0.0,0.5,False,0.5,0.5,sin PASS total: max Balanced_Accuracy/F1
Recovery_OOF_LogReg,0.1,1.0,0.9900990099009901,0.9950248756218906,0.99,0.995,True,0.9999,0.9999009900990099,cumple MVP + max F1
