threshold,TP,FN,FP,TN,Recall,Precision,F1,Specificity,Balanced_Accuracy,PASS
0.45,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.455,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.46,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.465,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.47,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.475,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.48,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.485,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.49,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.495,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.5,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.505,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.51,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.515,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.52,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.525,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.53,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.535,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.54,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.545,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.55,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.555,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.56,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.565,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.57,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.575,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.58,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.585,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.59,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.595,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.6,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.605,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.61,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.615,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.62,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.625,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.63,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.635,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.64,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.645,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.65,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.655,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.66,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.665,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.67,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.675,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.68,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.685,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.69,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.695,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.7,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.705,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.71,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.715,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.72,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.725,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.73,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.735,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.74,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.745,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.75,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.755,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.76,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.765,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.77,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.775,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.78,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.785,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.79,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.795,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.8,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.805,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.81,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.815,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.82,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.825,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.83,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.835,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.84,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.845,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.85,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.855,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.86,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.865,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.87,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
